column,missing_n,missing_pct
UNITS,66080,27.81
REASONCODE,55168,23.22
REASONDESCRIPTION,55168,23.22
STOP,31100,13.09
START,25119,10.57
PATIENT.y,25119,10.57
PAYER,25119,10.57
CODE.y,25119,10.57
DESCRIPTION.y,25119,10.57
BASE_COST,25119,10.57
PAYER_COVERAGE,25119,10.57
DISPENSES,25119,10.57
TOTALCOST,25119,10.57
DATE,3659,1.54
PATIENT.x,3659,1.54
CATEGORY,3659,1.54
CODE.x,3659,1.54
DESCRIPTION.x,3659,1.54
VALUE,3659,1.54
TYPE,3659,1.54
encounter_id,0,0
patient_id,0,0
visit_start,0,0
visit_stop,0,0
encounter_type,0,0
