DESCRIPTION.x,UNITS,n,n_numeric,min,p1,median,p99,max
Pain severity - 0-10 verbal numeric rating [Score] - Reported,{score},4331,4331,0,0,2,6,10
Diastolic Blood Pressure,mm[Hg],3748,3748,47,49,76,107,119
Systolic Blood Pressure,mm[Hg],3748,3748,76,90,115,152,164
Glomerular filtration rate [Volume Rate/Area] in Serum or Plasma by Creatinine-based formula (MDRD)/1.73 sq M,mL/min/{1.73_m2},3716,3716,1.5,4.2,52.4,148.1,158.5
Body Weight,kg,3550,3550,2.9,7.0489999999999995,79.45,110.9,127.9
Heart rate,/min,3529,3529,60,60,80,129.8,199.7
Respiratory rate,/min,3529,3529,12,12,14,36.1,37.4
Body Height,cm,3420,3420,46.6,63.657000000000004,169.5,193.3,195.1
Body mass index (BMI) [Ratio],kg/m2,3333,3333,14,15.5,27.6,40.3,48.3
Hemoglobin A1c/Hemoglobin.total in Blood,%,3140,3140,2.3,2.8,3.9,6.9,7.6
Calcium [Mass/volume] in Blood,mg/dL,3126,3126,8.5,8.5,9.3,10.2,10.2
Carbon dioxide  total [Moles/volume] in Blood,mmol/L,3126,3126,20,20.1,24.3,28.9,29
Chloride [Moles/volume] in Blood,mmol/L,3126,3126,101,101.2,105.6,110.9,111
Creatinine [Mass/volume] in Blood,mg/dL,3126,3126,0.6,0.6,1.5,18.1,40.2
Glucose [Mass/volume] in Blood,mg/dL,3126,3126,64,64.5,86.6,123.9,197.1
Potassium [Moles/volume] in Blood,mmol/L,3126,3126,3.7,3.7,4.4,5.2,5.2
Sodium [Moles/volume] in Blood,mmol/L,3126,3126,136,136.1,139.8,143.9,144
How many people are living or staying at this address [#],{#},3012,3012,1,1,4,8,8
What was your best estimate of the total income of all family members from all sources  before taxes  in last year [PhenX],/a,3012,3012,1097,1097,117621,715340,949690
Calcium [Mass/volume] in Serum or Plasma,mg/dL,2775,2775,8.5,8.5,9.3,10.2,10.2
Carbon dioxide  total [Moles/volume] in Serum or Plasma,mmol/L,2775,2775,20,20.1,24.5,28.9,29
Chloride [Moles/volume] in Serum or Plasma,mmol/L,2775,2775,101,101.2,105.8,111,111
Creatinine [Mass/volume] in Serum or Plasma,mg/dL,2775,2775,1,1,2,2.9,5
Glucose [Mass/volume] in Serum or Plasma,mg/dL,2775,2775,64,64.5,85.4,123.6,190.4
Potassium [Moles/volume] in Serum or Plasma,mmol/L,2775,2775,3.7,3.7,4.4,5.2,5.2
Sodium [Moles/volume] in Serum or Plasma,mmol/L,2775,2775,136,136.1,139.7,143.9,144
Urea nitrogen [Mass/volume] in Serum or Plasma,mg/dL,2775,2775,7,7.2,13.4,20,20
Glucose [Mass/volume] in Urine by Test strip,mg/dL,2737,2737,0.1,0.5,1.5,2.5,14.6
Protein [Mass/volume] in Urine by Test strip,mg/dL,2737,2737,0,54.132,276.4,445.2,449.5
Specific gravity of Urine by Test strip,{nominal},2737,2737,1,1,1,1,1
pH of Urine by Test strip,pH,2737,2737,5,5,6,7,7
Bilirubin.total [Mass/volume] in Urine by Test strip,mg/dL,2721,2721,0.2,0.2,0.8,1.5,1.5
Ketones [Mass/volume] in Urine by Test strip,mg/dL,2721,2721,0,0.1,10.1,19.8,20
Urea nitrogen [Mass/volume] in Blood,mg/dL,2596,2596,7,7.195,13.6,19.8,20
